#Year   glob_temp_dev  RF_nonCO2  RF_budget  co2_atm     fossil_CO2_em   budget_C_uptake
2281    -9999.9999     1.04       0          -9999.9999  0.6599171982    0
2282    -9999.9999     1.04       0          -9999.9999  0.6581859862    0
2283    -9999.9999     1.04       0          -9999.9999  0.6564635857    0
2284    -9999.9999     1.04       0          -9999.9999  0.6547499141    0
2285    -9999.9999     1.04       0          -9999.9999  0.6530448901    0
2286    -9999.9999     1.04       0          -9999.9999  0.6513484332    0
2287    -9999.9999     1.04       0          -9999.9999  0.649660464     0
2288    -9999.9999     1.04       0          -9999.9999  0.6479809043    0
2289    -9999.9999     1.04       0          -9999.9999  0.6463096768    0
2290    -9999.9999     1.04       0          -9999.9999  0.6446467053    0
2291    -9999.9999     1.04       0          -9999.9999  0.6429919143    0
2292    -9999.9999     1.04       0          -9999.9999  0.6413452298    0
2293    -9999.9999     1.04       0          -9999.9999  0.6397065782    0
2294    -9999.9999     1.04       0          -9999.9999  0.6380758871    0
2295    -9999.9999     1.04       0          -9999.9999  0.6364530852    0
2296    -9999.9999     1.04       0          -9999.9999  0.6348381018    0
2297    -9999.9999     1.04       0          -9999.9999  0.6332308672    0
2298    -9999.9999     1.04       0          -9999.9999  0.6316313127    0
2299    -9999.9999     1.04       0          -9999.9999  0.6300393703    0
2300    -9999.9999     1.04       0          -9999.9999  0.6284549731    0
2301    -9999.9999     1.04       0          -9999.9999  0.6268780547    0
2302    -9999.9999     1.04       0          -9999.9999  0.6253085499    0
2303    -9999.9999     1.04       0          -9999.9999  0.623746394     0
2304    -9999.9999     1.04       0          -9999.9999  0.6221915233    0
2305    -9999.9999     1.04       0          -9999.9999  0.6206438748    0
2306    -9999.9999     1.04       0          -9999.9999  0.6191033864    0
2307    -9999.9999     1.04       0          -9999.9999  0.6175699966    0
2308    -9999.9999     1.04       0          -9999.9999  0.6160436448    0
2309    -9999.9999     1.04       0          -9999.9999  0.6145242711    0
2310    -9999.9999     1.04       0          -9999.9999  0.6130118163    0
2311    -9999.9999     1.04       0          -9999.9999  0.611506222     0
2312    -9999.9999     1.04       0          -9999.9999  0.6100074305    0
2313    -9999.9999     1.04       0          -9999.9999  0.6085153847    0
2314    -9999.9999     1.04       0          -9999.9999  0.6070300282    0
2315    -9999.9999     1.04       0          -9999.9999  0.6055513055    0
2316    -9999.9999     1.04       0          -9999.9999  0.6040791616    0
2317    -9999.9999     1.04       0          -9999.9999  0.602613542     0
2318    -9999.9999     1.04       0          -9999.9999  0.6011543933    0
2319    -9999.9999     1.04       0          -9999.9999  0.5997016623    0
2320    -9999.9999     1.04       0          -9999.9999  0.5982552966    0
2321    -9999.9999     1.04       0          -9999.9999  0.5968152446    0
